sgRNA	Gene	Reads
HGLibA_20267	GRIA3	1041
HGLibA_21109	HEG1	1441
HGLibA_15853	F13A1	353
HGLibA_09730	CISD2	1415
HGLibA_46378	SPANXA1	9078
HGLibA_23609	IRGC	584
HGLibA_36022	PECR	1221
HGLibA_32355	NOTO	1781
HGLibA_23751	ITGAD	630
HGLibA_05616	C18orf42	549
HGLibA_39778	R3HDM4	475
HGLibA_06698	C9orf16	156
HGLibA_59751	hsa-mir-4261	229
HGLibA_15087	EMR2	1675
HGLibA_54454	WWP2	1780
HGLibA_45872	SNAI3	870
HGLibA_55691	ZNF260	912
HGLibA_50879	TNNI3K	1641
HGLibA_39605	PUS7	2336
HGLibA_36778	PIWIL3	771
HGLibA_10542	COL22A1	1129
HGLibA_05114	C11orf1	874
HGLibA_41618	RNF212	828
HGLibA_48513	TBC1D24	1304
HGLibA_49592	TKTL2	1204
HGLibA_11248	CRYAB	457
HGLibA_09257	CFDP1	737
HGLibA_35645	PCNXL2	746
HGLibA_59671	hsa-mir-3978	1544
HGLibA_00236	ABHD11	292
HGLibA_00992	ADM	1376
HGLibA_25017	KITLG	470
HGLibA_16250	FAM168B	663
HGLibA_12478	DCD	1564
HGLibA_07740	CCDC25	820
HGLibA_35461	PCDHA9	912
HGLibA_41900	RPL22L1	1580
HGLibA_51832	TSEN2	104
HGLibA_20979	HCN3	328
HGLibA_52759	UBR5	650
HGLibA_15188	ENSA	747
HGLibA_14349	EBF1	327
HGLibA_10706	COPG2	1454
HGLibA_19957	GPR161	1196
HGLibA_24216	KCNH3	1023
HGLibA_38079	PPP1R26	453
HGLibA_31133	NAPEPLD	2096
HGLibA_25969	LAMC1	1920
HGLibA_60139	hsa-mir-4436a	328
HGLibA_07425	CBR4	419
HGLibA_09507	CHN2	374
HGLibA_65337	NonTargetingControlGuideForHuman_0954	1152
HGLibA_50917	TNRC6B	1051
HGLibA_51279	TRAK2	271
HGLibA_16598	FAM46B	460
HGLibA_02110	ANKRD49	767
HGLibA_13045	DGCR2	372
HGLibA_20389	GRXCR1	1993
HGLibA_01819	AMOTL2	1332
HGLibA_06735	C9orf43	608
HGLibA_04738	BPNT1	1166
HGLibA_17114	FBXO47	1320
HGLibA_03223	ASB16	913
HGLibA_25990	LAMTOR1	1102
HGLibA_30501	MTTP	670
HGLibA_33986	OR4E2	1747
HGLibA_27822	MAB21L1	362
HGLibA_23995	JRKL	319
HGLibA_51688	TRMT44	2130
HGLibA_12525	DCPS	440
HGLibA_57885	hsa-mir-148b	1933
HGLibA_16232	FAM163B	1005
HGLibA_51501	TRIM43	1192
HGLibA_43994	SHB	553
HGLibA_57966	hsa-mir-181b-1	1230
HGLibA_22886	IGSF22	947
HGLibA_38549	PRKCG	383
HGLibA_54568	XPO5	805
HGLibA_15909	FABP12	1090
HGLibA_38026	PPP1R12C	933
HGLibA_30490	MTRNR2L8	690
HGLibA_51171	TPPP3	566
HGLibA_50263	TMEM233	1231
HGLibA_40413	RB1	2939
HGLibA_54437	WTIP	527
HGLibA_00689	ACVR1B	815
HGLibA_07664	CCDC158	1196
HGLibA_23099	IL23R	579
HGLibA_14352	EBF2	803
HGLibA_36977	PLCB1	503
HGLibA_63577	hsa-mir-6851	479
HGLibA_25412	KRR1	875
HGLibA_13709	DNPEP	587
HGLibA_43439	3-Sep	242
HGLibA_39989	RAB8B	764
HGLibA_10805	COX11	273
HGLibA_14830	EIF4EBP2	189
HGLibA_02858	ARHGEF38	1668
HGLibA_01964	ANKHD1	1688
HGLibA_14622	EGF	546
HGLibA_40676	RCBTB1	1540
HGLibA_07089	CAMKK1	288
HGLibA_40495	RBM15B	508
HGLibA_46175	SORBS1	1414
HGLibA_38356	PRCD	644
HGLibA_15717	EXD1	465
HGLibA_59219	hsa-mir-3667	1595
HGLibA_07297	CASP10	1575
HGLibA_60023	hsa-mir-4325	1923
HGLibA_17335	FGA	505
HGLibA_53311	USP25	877
HGLibA_53634	VGLL1	2821
HGLibA_03876	AURKAIP1	171
HGLibA_38558	PRKCQ	373
HGLibA_12923	DEGS2	498
HGLibA_40840	RENBP	823
HGLibA_30075	MRPS25	1496
HGLibA_59872	hsa-mir-4290	2943
HGLibA_34009	OR4F5	1364
HGLibA_50915	TNRC6B	4131
HGLibA_16527	FAM227A	438
HGLibA_58178	hsa-mir-205	487
HGLibA_26132	LCE3B	942
HGLibA_22193	HSD17B4	1088
HGLibA_51119	TPD52L3	566
HGLibA_42979	SCN2A	1625
HGLibA_33848	OR2S2	4287
HGLibA_01456	AKIRIN1	965
HGLibA_01787	AMHR2	1185
HGLibA_33497	OR10G7	800
HGLibA_56721	ZNF776	148
HGLibA_55687	ZNF26	832
HGLibA_12867	DEFB119	1486
HGLibA_56519	ZNF677	888
HGLibA_25818	KRTAP6-2	732
HGLibA_23722	ITGA11	1708
HGLibA_10806	COX11	946
HGLibA_03474	ATG16L1	1021
HGLibA_11642	CTNNA2	810
HGLibA_46244	SOX15	614
HGLibA_42591	S100Z	666
HGLibA_13572	DNAJC13	1598
HGLibA_16532	FAM227B	1370
HGLibA_31060	NAF1	277
HGLibA_63674	hsa-mir-6872	681
HGLibA_47939	SYDE1	502
HGLibA_28969	METTL18	391
HGLibA_17442	FGFR1OP2	787
HGLibA_48685	TC2N	839
HGLibA_55007	ZCCHC11	1513
HGLibA_52500	U2SURP	313
HGLibA_58993	hsa-mir-331	819
HGLibA_35244	PARP8	1517
HGLibA_44458	SLC17A1	1518
HGLibA_07229	CARD17	1627
HGLibA_58624	hsa-mir-3141	1864
HGLibA_09962	CLEC2A	321
HGLibA_26833	LOC100288524	449
HGLibA_31443	NDUFA11	1066
HGLibA_32492	NPM3	2670
HGLibA_53103	UQCR10	682
HGLibA_39489	PTPRC	1030
HGLibA_59178	hsa-mir-3658	1527
HGLibA_08863	CDR1	608
HGLibA_34373	OR6B1	1010
HGLibA_44468	SLC17A4	467
HGLibA_47308	STAB2	1148
HGLibA_19867	GPR119	1351
HGLibA_46518	SPATA5L1	832
HGLibA_34043	OR4M2	1137
HGLibA_13248	DIP2A	742
HGLibA_25377	KPRP	4140
HGLibA_53872	VSTM5	161
HGLibA_40716	RCOR3	2591
HGLibA_20718	GZMA	1534
HGLibA_21165	HERC5	790
HGLibA_52053	TTC14	3941
HGLibA_13939	DQX1	316
HGLibA_34115	OR51I1	1971
HGLibA_64340	hsa-mir-941-1	1768
HGLibA_48561	TBC1D5	2290
HGLibA_52177	TTI2	328
HGLibA_07734	CCDC23	847
HGLibA_56502	ZNF671	880
HGLibA_63370	hsa-mir-6798	1158
HGLibA_51420	TRIM16L	3164
HGLibA_46195	SORL1	780
HGLibA_20224	GRB10	2484
HGLibA_63830	hsa-mir-7150	561
HGLibA_59487	hsa-mir-384	2070
HGLibA_24699	KIAA1147	677
HGLibA_43197	SEC14L3	1572
HGLibA_56868	ZNF85	3156
HGLibA_23440	INTU	878
HGLibA_57525	hsa-mir-1271	814
HGLibA_64616	NonTargetingControlGuideForHuman_0233	1464
HGLibA_14062	DTL	1249
HGLibA_36538	PIF1	438
HGLibA_16930	FAXDC2	480
HGLibA_04688	BOLA3	1392
HGLibA_08464	CD84	1000
HGLibA_08270	CD1C	2617
HGLibA_08955	CEBPA	358
HGLibA_02051	ANKRD27	715
HGLibA_13575	DNAJC14	1236
HGLibA_22053	HPS4	2106
HGLibA_10665	COMMD4	186
HGLibA_37028	PLCXD3	1517
HGLibA_07789	CCDC47	543
HGLibA_47593	STRN	423
HGLibA_48883	TDGF1	784
HGLibA_36742	PITPNA	2375
HGLibA_26695	LMNB1	636
HGLibA_20598	GTPBP1	862
HGLibA_47987	SYNGAP1	1098
HGLibA_13036	DGAT2	527
HGLibA_44844	SLC29A2	765
HGLibA_51766	TRPM6	271
HGLibA_63986	hsa-mir-7849	687
HGLibA_36010	PEAR1	169
HGLibA_13492	DNAH6	638
HGLibA_22542	IDH2	650
HGLibA_14645	EGLN3	1586
HGLibA_46443	SPATA2	393
HGLibA_03195	ASAP1	610
HGLibA_58618	hsa-mir-3140	1189
HGLibA_03202	ASB1	1737
HGLibA_47530	STOM	461
HGLibA_13116	DHPS	696
HGLibA_21464	HIST1H3D	825
HGLibA_22340	HSPG2	772
HGLibA_44379	SLC12A8	1885
HGLibA_58630	hsa-mir-3143	419
HGLibA_42845	SCAMP4	203
HGLibA_57818	hsa-mir-138-2	723
HGLibA_09138	CEP41	581
HGLibA_14009	DSCR4	957
HGLibA_29435	MLST8	962
HGLibA_23061	IL1RL1	1110
HGLibA_37281	PLXND1	610
HGLibA_62375	hsa-mir-571	819
HGLibA_27278	LRRC2	1137
HGLibA_14434	EDA2R	498
HGLibA_46490	SPATA31C1	884
HGLibA_22241	HSFY1	2696
HGLibA_24917	KIF26A	1202
HGLibA_07315	CASP5	326
HGLibA_49847	TMEM104	1770
HGLibA_61996	hsa-mir-548h-2	2099
HGLibA_06765	C9orf84	516
HGLibA_64108	hsa-mir-8067	429
HGLibA_33357	OLFML1	1069
HGLibA_47609	STT3B	300
HGLibA_24109	KBTBD4	1469
HGLibA_63004	hsa-mir-668	3201
HGLibA_18111	FSTL5	1144
HGLibA_03507	ATG9A	848
HGLibA_05754	C1orf115	685
HGLibA_07524	CCDC106	866
HGLibA_43479	SERGEF	1214
HGLibA_37336	PMS2	985
HGLibA_06323	C4orf33	624
HGLibA_29513	MMP21	109
HGLibA_38715	PRPF3	6
HGLibA_58067	hsa-mir-192	399
HGLibA_13295	DKK1	818
HGLibA_59339	hsa-mir-3689f	489
HGLibA_51143	TPM2	332
HGLibA_22233	HSF5	1580
HGLibA_34587	OR9Q2	364
HGLibA_58917	hsa-mir-3202-1	231
HGLibA_54650	YBX3	649
HGLibA_47761	SULT2B1	2303
HGLibA_15919	FABP4	1559
HGLibA_51043	TOX3	1029
HGLibA_27205	LRP12	565
HGLibA_23452	IP6K3	602
HGLibA_03849	ATXN7	1503
HGLibA_02911	ARIH1	352
HGLibA_03728	ATP6V0E2	1403
HGLibA_20483	GSTM5	1529
HGLibA_60968	hsa-mir-4717	1067
HGLibA_43412	SEPHS1	794
HGLibA_01074	ADSL	1361
HGLibA_25882	KYNU	1081
HGLibA_21342	HIPK2	1176
HGLibA_40638	RBP4	253
HGLibA_15490	ERLEC1	1180
HGLibA_42146	RPS4Y1	1257
HGLibA_63449	hsa-mir-6818	496
HGLibA_37147	PLEKHN1	1042
HGLibA_25264	KLK6	282
HGLibA_52391	TXLNA	538
HGLibA_11517	CT47A1	5004
HGLibA_46763	SPOP	386
HGLibA_05807	C1orf186	759
HGLibA_54030	WDR13	950
HGLibA_51534	TRIM5	1040
HGLibA_01409	AKAP11	593
HGLibA_31810	NFIL3	389
HGLibA_36584	PIGS	44
HGLibA_40650	RBPJL	375
HGLibA_02188	ANO7	172
HGLibA_07661	CCDC157	679
HGLibA_50057	TMEM170B	3418
HGLibA_65364	NonTargetingControlGuideForHuman_0981	566
HGLibA_10016	CLGN	2220
HGLibA_08770	CDK4	2707
HGLibA_08314	CD27	677
HGLibA_08738	CDK14	525
HGLibA_05361	C14orf28	1486
HGLibA_29274	MINA	607
HGLibA_39765	R3HCC1	470
HGLibA_57383	hsa-mir-1246	492
HGLibA_23107	IL25	1034
HGLibA_62100	hsa-mir-550a-1	1784
HGLibA_33070	NUP85	490
HGLibA_58502	hsa-mir-3116-1	1674
HGLibA_31308	NCK2	1835
HGLibA_00770	ADAM30	553
HGLibA_34026	OR4K15	2888
HGLibA_23968	JMJD8	433
HGLibA_27219	LRP3	454
HGLibA_33481	OR10AG1	2249
HGLibA_01017	ADORA2B	257
HGLibA_28548	MC3R	1210
HGLibA_27663	LY6G5C	277
HGLibA_26597	LINS	161
HGLibA_25002	KIRREL2	506
HGLibA_34939	PABPC5	388
HGLibA_04218	BBS4	789
HGLibA_61663	hsa-mir-518c	1233
HGLibA_64382	hsa-mir-99b	416
HGLibA_41741	ROBO4	223
HGLibA_45832	SMTN	1220
HGLibA_12189	CYP4F22	1246
HGLibA_47677	STXBP5L	880
HGLibA_54238	WEE1	1520
HGLibA_01946	ANKDD1A	774
HGLibA_62658	hsa-mir-6128	995
HGLibA_32152	NME1	1217
HGLibA_12045	CYLC2	331
HGLibA_33779	OR2C3	1147
HGLibA_32378	NOX5	380
HGLibA_58197	hsa-mir-208a	392
HGLibA_58208	hsa-mir-21	693
HGLibA_10753	COQ3	2790
HGLibA_10743	COQ10A	508
HGLibA_16441	FAM209B	921
HGLibA_06625	C8orf44-SGK3	866
HGLibA_32527	NPSR1	1277
HGLibA_16890	FAS	840
HGLibA_42617	SAA4	395
HGLibA_59034	hsa-mir-34a	2434
HGLibA_20731	GZMM	1643
HGLibA_07306	CASP2	423
HGLibA_09753	CKAP2	925
HGLibA_09382	CHD1	1343
HGLibA_30351	MTF2	1649
HGLibA_23622	IRS2	1131
HGLibA_18196	FUT5	708
HGLibA_22793	IGF1R	512
HGLibA_56569	ZNF7	757
HGLibA_06627	C8orf44-SGK3	732
HGLibA_51350	TREH	405
HGLibA_18993	GGCT	895
HGLibA_05340	C14orf169	693
HGLibA_53831	VRK3	1200
HGLibA_34412	OR6C76	785
HGLibA_22986	IL16	1595
HGLibA_39651	PXDNL	571
HGLibA_33534	OR10K2	547
HGLibA_35912	PDLIM3	1194
HGLibA_41076	RGS19	966
HGLibA_34382	OR6C1	1175
HGLibA_42233	RRAGD	1637
HGLibA_58459	hsa-mir-3064	506
HGLibA_29611	MOCS1	1414
HGLibA_21976	HOXC8	495
HGLibA_15406	ERAP2	820
HGLibA_41215	RHOXF1	922
HGLibA_52122	TTC36	578
HGLibA_34473	OR7D2	1693
HGLibA_48801	TCFL5	361
HGLibA_00066	AARD	1175
HGLibA_57522	hsa-mir-1271	1153
HGLibA_45647	SMC2	177
HGLibA_01603	ALG10	1008
HGLibA_04987	BTRC	3158
HGLibA_32899	NUB1	994
HGLibA_46074	SNX27	724
HGLibA_21024	HDAC8	2397
HGLibA_14097	DUOX1	1547
HGLibA_35628	PCMTD1	1755
HGLibA_29629	MOGAT3	1476
HGLibA_59312	hsa-mir-3689a	2743
HGLibA_46247	SOX17	191
HGLibA_62807	hsa-mir-642a	1338
HGLibA_35441	PCDHA3	1274
HGLibA_46297	SP2	559
HGLibA_36512	PIAS3	1764
HGLibA_14926	ELL3	654
HGLibA_32680	NRG2	1338
HGLibA_53166	USF1	2088
HGLibA_12488	DCDC2B	514
HGLibA_00321	ABP1	2119
HGLibA_37425	PNPLA8	3075
HGLibA_23410	INTS10	2095
HGLibA_29927	MRPL21	1083
HGLibA_14585	EFNA2	794
HGLibA_34499	OR8B3	1919
HGLibA_08556	CDC42BPA	1082
HGLibA_13578	DNAJC15	2042
HGLibA_02222	ANXA10	813
HGLibA_55370	ZMAT2	370
HGLibA_21770	HN1L	3936
HGLibA_32070	NLGN2	520
HGLibA_10603	COL6A3	349
HGLibA_46151	SOD3	576
HGLibA_05947	C1QTNF5	498
HGLibA_58525	hsa-mir-3119-1	1209
HGLibA_47154	SSR1	1288
HGLibA_41522	RNF141	738
HGLibA_42870	SCARB1	892
HGLibA_02092	ANKRD39	835
HGLibA_25355	KPNA1	335
HGLibA_04260	BCAS4	197
HGLibA_47577	STRADB	1298
HGLibA_33659	OR1E1	1142
HGLibA_61601	hsa-mir-515-1	3681
HGLibA_31469	NDUFA7	803
HGLibA_19209	GKN1	1312
HGLibA_44248	SIX3	473
HGLibA_57118	hsa-let-7d	182
HGLibA_25435	KRT17	1154
HGLibA_06282	C4A	1855
HGLibA_32802	NT5C1A	1196
HGLibA_39536	PTPRS	854
HGLibA_64142	hsa-mir-8075	2477
HGLibA_41960	RPL36AL	688
HGLibA_51541	TRIM52	1345
HGLibA_60972	hsa-mir-4718	582
HGLibA_30798	MYNN	1924
HGLibA_46275	SOX8	375
HGLibA_34141	OR52A5	550
HGLibA_53714	VNN2	1539
HGLibA_57926	hsa-mir-154	158
HGLibA_59366	hsa-mir-3713	363
HGLibA_55818	ZNF333	1253
HGLibA_36992	PLCD3	497
HGLibA_10767	COQ9	1073
HGLibA_54535	XKR9	1145
HGLibA_33083	NUPL2	1351
HGLibA_49116	TF	888
HGLibA_03649	ATP5E	91
HGLibA_19431	GMPR2	833
HGLibA_06872	CACHD1	1430
HGLibA_44680	SLC25A24	740
HGLibA_50940	TOE1	145
HGLibA_47207	SSX3	704
HGLibA_63014	hsa-mir-671	112
HGLibA_61667	hsa-mir-518d	770
HGLibA_44529	SLC20A1	2616
HGLibA_54246	WFDC10A	607
HGLibA_50523	TMEM82	288
HGLibA_17358	FGD6	1795
HGLibA_26615	LIPH	980
HGLibA_23314	INIP	1127
HGLibA_62548	hsa-mir-6074	45
HGLibA_64716	NonTargetingControlGuideForHuman_0333	1351
HGLibA_35740	PDCD6	545
HGLibA_31090	NANOG	498
HGLibA_01447	AKAP8L	1642
HGLibA_08470	CD8A	676
HGLibA_64892	NonTargetingControlGuideForHuman_0509	461
HGLibA_13847	DPH5	2080
HGLibA_02386	APBB3	614
HGLibA_21196	HES7	1318
HGLibA_50704	TNF	586
HGLibA_52179	TTK	1772
HGLibA_60377	hsa-mir-4490	1664
HGLibA_13952	DRAXIN	1467
HGLibA_32068	NLGN1	2624
HGLibA_47432	STEAP4	549
HGLibA_60081	hsa-mir-4423	2868
HGLibA_07191	CAPRIN1	655
HGLibA_48018	SYNPO	933
HGLibA_09342	CHAD	354
HGLibA_02047	ANKRD26	599
HGLibA_05945	C1QTNF4	1039
HGLibA_11077	CRBN	206
HGLibA_26218	LDB3	462
HGLibA_62759	hsa-mir-630	1019
HGLibA_08051	CCNA1	594
HGLibA_14392	ECH1	530
HGLibA_52399	TXN	368
HGLibA_33633	OR14C36	1839
HGLibA_60618	hsa-mir-4539	919
HGLibA_46718	SPINT3	1061
HGLibA_33217	OAZ2	1408
HGLibA_26467	LHX9	224
HGLibA_40286	RARRES3	418
HGLibA_29223	MICU1	2069
HGLibA_51292	TRANK1	354
HGLibA_53871	VSTM5	1714
HGLibA_35811	PDE6C	1832
HGLibA_10347	CNOT6L	646
HGLibA_52459	TYMP	279
HGLibA_56691	ZNF765	3147
HGLibA_10049	CLIP3	565
HGLibA_26424	LHCGR	674
HGLibA_64367	hsa-mir-95	2121
HGLibA_24921	KIF27	1742
HGLibA_12353	DAZ1	1257
HGLibA_08282	CD200	1167
HGLibA_47759	SULT2A1	584
HGLibA_17899	FOXL1	1007
HGLibA_57023	ZSCAN32	834
HGLibA_31928	NIF3L1	867
HGLibA_12881	DEFB126	1704
HGLibA_37313	PML	1775
HGLibA_42796	SBF2	1357
HGLibA_58770	hsa-mir-3174	1467
HGLibA_16117	FAM133A	1181
HGLibA_61909	hsa-mir-548ao	304
HGLibA_07777	CCDC41	2822
HGLibA_41346	RLF	1288
HGLibA_15557	ESCO1	2034
HGLibA_11864	CXCL17	1056
HGLibA_08624	CDCP1	1236
HGLibA_60611	hsa-mir-4537	372
HGLibA_48226	TAF1L	2603
HGLibA_37020	PLCXD1_X	729
HGLibA_00468	ACOT1	282
HGLibA_57637	hsa-mir-1290	1757
HGLibA_57571	hsa-mir-128-1	1467
HGLibA_27521	LSM10	898
HGLibA_19114	GIP	1964
HGLibA_23712	ITFG3	1428
HGLibA_00676	ACTRT1	441
HGLibA_09660	CHTF18	1772
HGLibA_14625	EGFL6	635
HGLibA_54579	XPR1	1062
HGLibA_57609	hsa-mir-1286	1353
HGLibA_46868	SPSB4	546
HGLibA_28310	MAPKBP1	1043
HGLibA_14734	EIF2B1	240
HGLibA_45964	SNRPA1	637
HGLibA_23823	ITLN1	1486
HGLibA_28972	METTL20	2848
HGLibA_47440	STIM1	674
HGLibA_55225	ZFP62	1302
HGLibA_05495	C16orf89	771
HGLibA_13915	DPY19L4	499
HGLibA_57376	hsa-mir-1245a	1650
HGLibA_06164	C2orf68	570
HGLibA_56315	ZNF583	1356
HGLibA_50218	TMEM215	1195
HGLibA_54557	XPNPEP2	692
HGLibA_28114	MAP1A	355
HGLibA_00283	ABHD6	389
HGLibA_19022	GGTLC1	1040
HGLibA_56462	ZNF652	1246
HGLibA_00846	ADAMTS9	1955
HGLibA_14285	DYSF	221
HGLibA_05745	C1orf110	940
HGLibA_39138	PSMC4	497
HGLibA_13115	DHPS	190
HGLibA_36021	PECR	1158
HGLibA_55799	ZNF322	925
HGLibA_33634	OR14I1	1350
HGLibA_51214	TPTE	2147
HGLibA_03106	ARRB1	1303
HGLibA_22970	IL13	997
HGLibA_05189	C11orf82	785
HGLibA_27314	LRRC32	405
HGLibA_03823	ATRNL1	869
HGLibA_56572	ZNF70	440
HGLibA_03243	ASB5	2757
HGLibA_54967	ZC3H15	477
HGLibA_18847	GDE1	855
HGLibA_10613	COL8A1	1109
HGLibA_46882	SPTBN2	602
HGLibA_03250	ASB8	467
HGLibA_45866	SNAI1	786
HGLibA_49970	TMEM144	358
HGLibA_64390	NonTargetingControlGuideForHuman_0007	862
HGLibA_03126	ARRDC5	686
HGLibA_59930	hsa-mir-4305	756
HGLibA_49220	TGFBI	323
HGLibA_09710	CILP	196
HGLibA_55996	ZNF439	807
HGLibA_56811	ZNF816	1401
HGLibA_39525	PTPRO	249
HGLibA_48028	SYNPR	1440
HGLibA_45472	SLCO4C1	955
HGLibA_46354	SPAG17	822
HGLibA_01721	ALS2CL	884
HGLibA_10674	COMMD7	1811
HGLibA_24400	KCNU1	2211
HGLibA_33798	OR2G3	3514
HGLibA_14503	EEF1E1	1624
HGLibA_61847	hsa-mir-548aa-1	936
HGLibA_46830	SPRR4	733
HGLibA_44470	SLC17A5	231
HGLibA_54660	YES1	2197
HGLibA_01479	AKR1B15	180
HGLibA_20386	GRWD1	496
HGLibA_23175	IL5	1106
HGLibA_54613	XXYLT1	1761
HGLibA_58260	hsa-mir-216b	378
HGLibA_30329	MTCH2	2756
HGLibA_40023	RABIF	486
HGLibA_00771	ADAM30	2491
HGLibA_60382	hsa-mir-4491	559
HGLibA_54440	WWC1	1802
HGLibA_45764	SMIM6	2855
HGLibA_55624	ZNF226	866
HGLibA_03023	ARMC5	1924
HGLibA_60570	hsa-mir-4527	992
HGLibA_38663	PRODH2	655
HGLibA_19598	GOLGA3	741
HGLibA_14215	DVL3	1612
HGLibA_33138	NXF5	2983
HGLibA_27733	LYPD8	1096
HGLibA_23859	ITPR3	1872
HGLibA_06007	C20orf197	380
HGLibA_65270	NonTargetingControlGuideForHuman_0887	646
HGLibA_46230	SOX11	693
HGLibA_12116	CYP2C18	1617
HGLibA_28777	MED22	330
HGLibA_07821	CCDC62	274
HGLibA_59479	hsa-mir-381	520
HGLibA_12173	CYP4A11	1004
HGLibA_56280	ZNF572	904
HGLibA_40698	RCL1	2564
HGLibA_29783	MPV17	1579
HGLibA_31456	NDUFA3	997
HGLibA_50811	TNFSF13B	1605
HGLibA_13951	DRAP1	521
HGLibA_07280	CASC5	302
HGLibA_19202	GK5	1529
HGLibA_54632	YAP1	519
HGLibA_03085	ARPC4	234
HGLibA_17783	FOLR1	801
HGLibA_28861	MEI1	1166
HGLibA_01923	ANGPTL5	816
HGLibA_36182	PFN4	826
HGLibA_64717	NonTargetingControlGuideForHuman_0334	1494
HGLibA_62246	hsa-mir-5682	1001
HGLibA_04925	BTBD9	394
HGLibA_63791	hsa-mir-7108	259
HGLibA_10894	CPA4	771
HGLibA_36561	PIGK	204
HGLibA_54810	ZBTB1	2305
HGLibA_09163	CEP76	1039
HGLibA_36758	PITRM1	452
HGLibA_56833	ZNF830	821
HGLibA_45035	SLC36A2	343
HGLibA_33184	NYAP2	1583
HGLibA_09842	CLCNKA	1094
HGLibA_16108	FAM131B	998
HGLibA_27759	LYRM7	628
HGLibA_01126	AFP	1087
HGLibA_11972	CXXC4	668
HGLibA_50989	TOP1	822
HGLibA_50046	TMEM168	681
HGLibA_58198	hsa-mir-208b	1225
HGLibA_22186	HSD17B2	2506
HGLibA_10140	CLSTN3	102
HGLibA_05154	C11orf53	568
HGLibA_31891	NHLH1	462
HGLibA_37922	PPIC	1811
HGLibA_09141	CEP44	1138
HGLibA_19855	GPR113	1036
HGLibA_53175	USH1G	1107
HGLibA_45666	SMCO2	527
HGLibA_35123	PAPD5	726
HGLibA_40591	RBMS2	874
HGLibA_37706	POR	608
HGLibA_53408	USP6NL	915
HGLibA_47379	STARD9	1104
HGLibA_55546	ZNF184	1060
HGLibA_49483	TIGIT	551
HGLibA_60069	hsa-mir-4420	769
HGLibA_56389	ZNF614	774
HGLibA_13440	DMRTC2	1449
HGLibA_27570	LSS	735
HGLibA_01121	AFM	2909
HGLibA_00174	ABCC3	449
HGLibA_10065	CLLU1OS	793
HGLibA_27643	LUZP4	799
HGLibA_52848	UFL1	1207
HGLibA_20627	GTSF1	944
HGLibA_55849	ZNF346	546
HGLibA_46612	SPEF2	1294
HGLibA_56629	ZNF721	758
HGLibA_60532	hsa-mir-4520a	2428
HGLibA_45196	SLC47A2	369
HGLibA_03189	ASAH2	395
HGLibA_51211	TPT1	1287
HGLibA_18107	FSTL4	1299
HGLibA_39960	RAB5A	1195
HGLibA_36558	PIGH	511
HGLibA_27952	MAGEB5	605
HGLibA_44632	SLC25A1	372
HGLibA_53690	VMAC	411
HGLibA_04875	BSPH1	586
HGLibA_38295	PRAMEF16	1789
HGLibA_62546	hsa-mir-6073	989
HGLibA_50352	TMEM260	675
HGLibA_26629	LIPN	623
HGLibA_43170	SDR9C7	687
HGLibA_48655	TBX2	1601
HGLibA_06864	CABS1	1528
HGLibA_22762	IFT46	1200
HGLibA_24456	KCTD4	1198
HGLibA_38957	PRSS53	557
HGLibA_62748	hsa-mir-627	426
HGLibA_47543	STON1	2214
HGLibA_32352	NOTCH4	595
HGLibA_55320	ZIC1	910
HGLibA_41079	RGS2	1201
HGLibA_61137	hsa-mir-4760	381
HGLibA_11406	CSNK2A2	453
HGLibA_05844	C1orf229	617
HGLibA_49744	TMBIM6	1208
HGLibA_13343	DLGAP2	1163
HGLibA_36227	PGC	194
HGLibA_58878	hsa-mir-3195	331
HGLibA_15080	EMP3	59
HGLibA_30077	MRPS26	1360
HGLibA_25743	KRTAP3-2	991
HGLibA_47853	SUSD4	357
HGLibA_38368	PRDM11	543
HGLibA_18025	FRMD7	426
HGLibA_08262	CD19	310
HGLibA_63843	hsa-mir-7154	464
HGLibA_04509	BIN2	807
HGLibA_23059	IL1RAPL2	2224
HGLibA_56011	ZNF443	336
HGLibA_53980	WBP2NL	924
HGLibA_33162	NXPH1	467
HGLibA_16068	FAM122B	1410
HGLibA_62920	hsa-mir-6512	676
HGLibA_29705	MPC1L	1205
HGLibA_15633	ETNK1	3890
HGLibA_30722	MYH2	1124
HGLibA_24476	KDELC2	252
HGLibA_40810	REL	2047
HGLibA_11556	CT62	1547
HGLibA_26955	LOC554223	2779
HGLibA_05448	C16orf45	299
HGLibA_29257	MIER3	575
HGLibA_44398	SLC14A1	1128
HGLibA_23199	IL9	714
HGLibA_47887	SVIL	1125
HGLibA_19650	GOLGB1	754
HGLibA_08675	CDH26	1618
HGLibA_42456	RUNX1	1138
HGLibA_19792	GPER	466
HGLibA_25094	KLHDC10	626
HGLibA_40759	RDX	730
HGLibA_63437	hsa-mir-6815	1221
HGLibA_14640	EGLN1	629
HGLibA_03529	ATN1	230
HGLibA_00579	ACSM3	1879
HGLibA_03884	AUTS2	1629
HGLibA_30971	NAA10	2083
HGLibA_05085	C10orf67	687
HGLibA_10460	COBL	394
HGLibA_32662	NRCAM	1069
HGLibA_62412	hsa-mir-5787	47
HGLibA_27522	LSM10	1229
HGLibA_56246	ZNF561	146
HGLibA_06394	C5orf48	1663
HGLibA_58281	hsa-mir-219a-2	732
HGLibA_34319	OR5K4	598
HGLibA_49633	TLN1	247
HGLibA_43072	SCUBE2	526
HGLibA_45675	SMCP	1561
